algorithm_type,N,GFLOPS/s,GFLOPS,time(s)
1d_array,32,0.860766,6.9632e-05,8.08954e-05
baseline,32,0.833974,6.9632e-05,8.34942e-05
blocking,32,0.527085,6.9632e-05,0.000132108
loop_interchange,32,0.770195,6.9632e-05,9.04083e-05
omp_1d_array,32,0.200149,6.9632e-05,0.0003479
omp_blocking,32,0.144769,6.9632e-05,0.000480986
omp_loop_interchange,32,0.188497,6.9632e-05,0.000369406
omp_naive,32,0.165791,6.9632e-05,0.000419998
openblas,32,12.0188,6.9632e-05,5.79357e-06
1d_array,64,0.806854,0.000540672,0.000670099
baseline,64,0.785638,0.000540672,0.000688195
blocking,64,0.525744,0.000540672,0.00102839
loop_interchange,64,0.83696,0.000540672,0.000645995
omp_1d_array,64,1.30819,0.000540672,0.000413299
omp_blocking,64,0.385284,0.000540672,0.00140331
omp_loop_interchange,64,1.22713,0.000540672,0.000440598
omp_naive,64,1.15454,0.000540672,0.000468302
openblas,64,38.8978,0.000540672,1.38998e-05
1d_array,128,0.779034,0.00425984,0.00546811
baseline,128,0.771319,0.00425984,0.0055228
blocking,128,0.523123,0.00425984,0.00814309
loop_interchange,128,0.808121,0.00425984,0.00527129
omp_1d_array,128,2.61405,0.00425984,0.00162959
omp_blocking,128,0.884368,0.00425984,0.00481682
omp_loop_interchange,128,4.19523,0.00425984,0.0010154
omp_naive,128,2.6346,0.00425984,0.00161688
openblas,128,7.94162,0.00425984,0.000536394
1d_array,256,0.632173,0.0338166,0.0534926
baseline,256,0.749502,0.0338166,0.0451187
blocking,256,0.377034,0.0338166,0.089691
loop_interchange,256,0.733124,0.0338166,0.0461267
omp_1d_array,256,5.23888,0.0338166,0.00645492
omp_blocking,256,2.01878,0.0338166,0.016751
omp_loop_interchange,256,7.2361,0.0338166,0.00467331
omp_naive,256,9.1808,0.0338166,0.0036834
openblas,256,41.1193,0.0338166,0.000822401
1d_array,512,0.774485,0.269484,0.347953
baseline,512,0.741793,0.269484,0.363287
blocking,512,0.520283,0.269484,0.517957
loop_interchange,512,0.723439,0.269484,0.372504
omp_1d_array,512,11.6098,0.269484,0.0232118
omp_blocking,512,3.59606,0.269484,0.0749387
omp_loop_interchange,512,10.7432,0.269484,0.0250842
omp_naive,512,9.32241,0.269484,0.0289071
openblas,512,187.117,0.269484,0.00144019
1d_array,1024,0.497109,2.15168,4.32838
baseline,1024,0.701898,2.15168,3.06551
blocking,1024,0.512839,2.15168,4.19562
loop_interchange,1024,0.808221,2.15168,2.66224
omp_1d_array,1024,9.14615,2.15168,0.235255
omp_blocking,1024,5.62074,2.15168,0.38281
omp_loop_interchange,1024,13.2263,2.15168,0.162681
omp_naive,1024,9.83297,2.15168,0.218823
openblas,1024,545.585,2.15168,0.0039438
1d_array,2048,0.396253,17.1966,43.3981
baseline,2048,0.542769,17.1966,31.6832
blocking,2048,0.44477,17.1966,38.6642
loop_interchange,2048,0.689309,17.1966,24.9477
omp_1d_array,2048,4.80766,17.1966,3.57693
omp_blocking,2048,8.64129,17.1966,1.99006
omp_loop_interchange,2048,13.6777,17.1966,1.25728
omp_naive,2048,5.20754,17.1966,3.30226
openblas,2048,779.059,17.1966,0.0220736
1d_array,4096,0.13433,137.506,1023.64
baseline,4096,0.312439,137.506,440.106
blocking,4096,0.503358,137.506,273.177
loop_interchange,4096,0.81753,137.506,168.197
omp_1d_array,4096,1.60014,137.506,85.9337
omp_blocking,4096,7.44848,137.506,18.461
omp_loop_interchange,4096,12.6992,137.506,10.8279
omp_naive,4096,3.73037,137.506,36.8613
openblas,4096,877.766,137.506,0.156655
